read_id	label	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc
NC_037131.1_96_638_10:0:0_8:0:0_5be	-1	150	13.000	NC_039553.1	98	0	3	142M8S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	8	8	142	1.000000	1.000000	1	1.000
NC_037131.1_130_540_3:0:0_6:0:0_d7	-1	150	13.000	NC_039553.1	138	0	4	6S144M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	6	0	6	6	1.000000	1.000000	0	0.000
NC_037131.1_111_575_5:0:0_6:0:0_934	-1	150	13.000	NC_039553.1	198	0	3	85S65M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	85	0	85	85	1.000000	1.000000	0	0.000
NC_037131.1_120_636_6:0:0_7:0:0_703	-1	150	13.000	NC_039553.1	198	0	21	76S49M25S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	76	25	101	76	1.000000	1.000000	0	0.000
NC_037131.1_184_678_14:0:0_4:0:0_1ba	-1	150	13.000	NC_039553.1	204	0	10	18S37M95S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	18	95	113	55	1.000000	1.000000	1	1.000
NC_037131.1_195_735_5:0:0_9:0:0_a8f	-1	150	13.000	NC_039553.1	216	0	14	19S67M1D51M13S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	19	13	32	19	0.953476	0.970141	0	0.000
NC_037131.1_180_625_9:0:0_9:0:0_59e	-1	150	13.000	NC_039553.1	295	0	4	112S38M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	112	0	112	112	0.983624	0.984382	1	1.000
NC_037131.1_294_811_6:0:0_8:0:0_a99	-1	150	13.000	NC_039553.1	297	0	3	80M70S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	70	70	80	0.971730	0.971388	0	0.000
NC_037131.1_276_800_7:0:0_7:0:0_c6	-1	150	13.000	NC_039553.1	305	0	3	26S77M47S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	26	47	73	103	0.954773	0.955036	0	0.000
NC_037131.1_447_991_8:0:0_8:0:0_256	-1	150	13.000	NC_039553.1	459	0	15	9S77M64S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	9	64	73	86	1.000000	1.000000	1	0.000
NC_037131.1_416_842_6:0:0_4:0:0_730	-1	150	13.000	NC_039553.1	460	0	28	41S78M31S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	41	31	72	41	0.967624	0.969248	2	0.000
NC_037131.1_435_855_10:0:0_5:0:0_223	-1	150	13.000	NC_039553.1	460	0	17	22S78M50S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	22	50	72	100	0.985018	0.985166	2	0.000
chimera_1_A14757-15004_B15892-15943_MH4_108686_109242_0:0:0_0:0:0_33	-1	150	40.000	NC_039553.1	460	0	5	78S72M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	78	0	78	78	0.971786	0.971414	2	0.000
chimera_1_A14757-15004_B15892-15943_MH4_86081_86580_0:0:0_0:0:0_113	-1	150	40.000	NC_039553.1	460	0	14	7S78M1D65M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	7	0	7	7	0.000000	0.500000	2	0.000
NC_037131.1_92_551_12:0:0_7:0:0_631	-1	150	13.000	NC_039553.1	460	1	3	55S78M17S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	55	17	72	55	0.957090	0.956120	2	0.000
NC_037131.1_111_575_5:0:0_6:0:0_934	-1	150	13.000	NC_039553.1	460	1	3	31S71M48S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	31	48	79	102	1.000000	1.000000	1	0.000
NC_037131.1_51_560_7:0:0_6:0:0_bf	-1	150	13.000	NC_039553.1	460	1	4	46S78M26S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	46	26	72	46	0.984612	0.984955	2	0.000
NC_037131.1_130_540_3:0:0_6:0:0_d7	-1	150	13.000	NC_039553.1	460	1	4	66S78M6S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	66	6	72	66	0.972342	0.971296	2	0.000
NC_037131.1_55_577_9:0:0_4:0:0_953	-1	150	13.000	NC_039553.1	460	1	14	29S74M47S	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	29	47	76	103	1.000000	1.000000	2	0.500
chimera_1_A14757-15004_B15892-15943_MH4_86091_86624_0:0:0_0:0:0_148	-1	150	40.000	NC_039553.1	463	0	15	75M1D75M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.986106	0.985714	2	0.000
NC_037131.1_462_922_7:0:0_5:0:0_4b5	-1	150	13.000	NC_039553.1	465	0	9	74M1D18M1I4M1D53M	0	0	1	0	0	0	0.000	0	0	0	0.000	0	0.000	0	0	0	75	0.942857	0.942857	2	0.000
