feature,loading,abs_loading
kmer_cosine_diff,0.8802604573341949,0.8802604573341949
kmer_js_divergence,0.4704412347230822,0.4704412347230822
sa_min_delta_pos,0.02818036550550347,0.02818036550550347
sa_max_delta_pos,0.02818036550550347,0.02818036550550347
sa_mean_delta_pos,0.02818036550550347,0.02818036550550347
sa_max_mapq,-0.02016321591700119,0.02016321591700119
sa_mean_mapq,-0.02016321591700119,0.02016321591700119
softclip_right,-0.019545333101014424,0.019545333101014424
total_clipped_bases,-0.009195461178769767,0.009195461178769767
softclip_left,-0.008620187782021877,0.008620187782021877
microhomology_length,0.004328251170127517,0.004328251170127517
mean_base_quality,-0.0035326590201679602,0.0035326590201679602
sa_opp_strand_count,0.0034669865344576258,0.0034669865344576258
num_segments,0.0034669865344576253,0.0034669865344576253
sa_count,0.0034669865344575143,0.0034669865344575143
has_sa,0.003466986534457386,0.003466986534457386
mapq,-0.002688924915980802,0.002688924915980802
microhomology_gc,0.0015973846539186537,0.0015973846539186537
ref_start_1based,-0.0010498024752439508,0.0010498024752439508
sa_mean_nm,1.9017865660306923e-05,1.9017865660306923e-05
